jobName,jobLink,feedBack,comLink,comName,salary,place,releaseDate,detail
http://jobs.zhaopin.com/258392011251545.htm,NLP（自然语言处理）,,http://company.zhaopin.com/%E5%8D%97%E7%91%9E%E4%BF%A1%E6%81%AF%E7%B3%BB%E7%BB%9F%E9%9B%86%E6%88%90%E5%88%86%E5%85%AC%E5%8F%B8_CC258392011D90250011000.htm,南瑞信息系统集成分公司,面议,南京,15天前,地点：南京公司性质：国企公司规模：100-499人学历：本科...python开发基础；   4、熟悉中文分词基本原理，并熟练使用相关工具；   5、熟悉中文文本的特征抽取与特征选择算法；   6、熟悉文本的相关分类算法；   7、熟悉基本的数据结构及算法；   8、具备较强的沟通能力，具备良好的团队协作精神和有很强的学习能力和分析问题、善于解...
http://jobs.zhaopin.com/301131710252624.htm,Python,,http://company.zhaopin.com/P2/CC3011/3171/CC301131710.htm,南京锐捷企业管理顾问有限公司,20001-30000,南京,15天前,地点：南京公司性质：民营公司规模：20-99人经验：1-3年学历：大专职位月薪：20001-30000元/月 本职位是南京锐捷猎头的猎头职位，锐捷猎头是知名的 南京猎头公司 ，官网： www.tuilie.com       更多职位请关注推猎网        职位说明：        工作描述：  1、  参与公司业务系统需求分析；  2、  负责公司业务系统功能模块设计、开发和测试；  3、  负责开...
http://jobs.zhaopin.com/463535987250013.htm,游戏测试工程师,100%,http://company.zhaopin.com/CC463535987.htm,南京易欣博软件技术有限公司,4001-6000,南京,15天前,地点：南京公司性质：民营公司规模：100-499人经验：无经验学历：大专职位月薪：4001-6000元/月 负责网易游戏以及相关软件的测试，保障产品质量。     您可以：  - 与最先接触和体验网易游戏的一线产品，并与优秀的测试团队一起剖析产品、制定和执行每个阶段的测试计划；  工作性质：2017届统招二本毕业生  专业要求：计算机相关专业  实习补贴：100元/天+住宿补贴1000元/月  转正薪资...
http://jobs.zhaopin.com/41518903790250016000.htm,网络服务器监控运维管理系统研发工程师,,http://company.zhaopin.com/CC415189037.htm,国创恒星(合肥)软件技术有限公司南京办事处,10001-15000,南京-江宁区,15天前,地点：南京-江宁区公司性质：民营公司规模：500-999人经验：5-10年学历：本科职位月薪：10001-15000元/月 岗位职责：  A类，主要从事网络服务器监控运维管理系统的需求分析、设计及开发管理工作。  B类，主要从事网络服务器监控运维管理系统采集、计算、告警等的设计、开发及管理工作。      任职要求：  A类，5年以上工作经验，3年以上项目管理经验;有丰富的项目需求分析和架构设计工作经验，精通web开发...
http://jobs.zhaopin.com/659610127250481.htm,大数据开发工程师（偏爬虫方向）,100%,http://company.zhaopin.com/CC659610127.htm,成都四方伟业软件股份有限公司,10000-18000,南京-雨花台区,15天前,地点：南京-雨花台区公司性质：民营公司规模：100-499人经验：1-3年学历：本科职位月薪：10000-18000元/月 岗位描述：  负责大规模文本、图像、视频、音频、APP等数据的抓取、结构化信息抽取、内容分析、垃圾过滤、质量识别等工作。 包含：  1. 爬虫、结构化提取和内容分析相关功能开发  2. 爬虫、结构化提取和内容分析相关工具平台的研发  岗位要求：  1. 本科以上，从事Python开发...
http://jobs.zhaopin.com/335545684250024.htm,软件测试工程师,67%,http://company.zhaopin.com/CC335545684.htm,南京融翼信息技术有限公司,10000-15000,南京,15天前,地点：南京公司性质：民营公司规模：100-499人经验：3-5年学历：大专职位月薪：10000-15000元/月 岗位职责：  1．根据公司产品功能特点、业务需求、测试需求进行自动化测试分析；  2．根据需求自动化测试方案、制定测试计划、设计测试数据、编写测试脚本；  3．搭建测试环境、部署测试系统，完成测试工作；  4．在测试过程中，准确定位并跟踪问题，推动问题及时合理地解决；  5．持续改进自动化框架、平...
http://jobs.zhaopin.com/13636571090250013000.htm,前端开发工程师,87%,http://special.zhaopin.com/pagepublish/13636571/index.html,南京厚建软件有限责任公司,6001-8000,南京,15天前,地点：南京公司性质：民营公司规模：100-499人学历：大专职位月薪：6001-8000元/月 您将从事：   1、公司Web产品的前端设计与开发工作；  2、Web产品日常维护与升级，开发设计产品需求。   我们希望您具备以下条件：  1、 HTML、CSS、JavaScript 基础扎实，了解 HTTP 协议以及浏览器原理；  2、能够熟练使用 Angular、React、Vue 中至少...
http://jobs.zhaopin.com/483710523254629.htm,软件配置管理工程师,,http://company.zhaopin.com/%E5%8C%97%E4%BA%AC%E5%B0%8F%E7%B1%B3%E9%80%9A%E8%AE%AF%E6%8A%80%E6%9C%AF%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC483710523.htm,北京小米通讯技术有限公司,15000-25000,南京,15天前,地点：南京公司性质：合资公司规模：1000-9999人学历：本科职位月薪：15000-25000元/月 工作职责  负责Android/Linux应用软件和系统软件版本的控制、编译和发布；  负责维护配置库的用户、权限、备份、项目初始化等工作；  构建产品基线用于测试发布、产品发布；  维护基线的变更历史记录等；  进行配置管理，发现问题并推动问题及时合理地解决；  优化开发迭代中的构建框架和环境；...
http://jobs.zhaopin.com/120146702312073.htm,软件测试工程师,,http://company.zhaopin.com/%E4%B8%AD%E5%85%B4%E9%80%9A%E8%AE%AF%E8%82%A1%E4%BB%BD%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC120146702.htm,"中兴通讯股份有限公司</a> <a href=""javascript:void(0);"" target=""_blank"" style=""vertical-align: top;""><img src=""/assets/images/best.png"" border=""0"" align=""absmiddle"">",10001-15000,南京,15天前,地点：南京公司性质：股份制企业公司规模：10000人以上经验：3-5年学历：本科职位月薪：10001-15000元/月 工作职责： 1. 参与项目需求分析，完成测试方案、测试用例设计并组织实施；  2. 终端测试解决方案版本测试，确保版本高质量交付；  3. 测试外场的技术支持； 4. 自动化测试工具开发与使用   任职资格： 1.	本科以上学历，计算机、电子、微电子、自动化等相关专业，本科3年硕士1年工作经验 2...
http://jobs.zhaopin.com/422453413250079.htm,网络开发高级工程师,,http://company.zhaopin.com/CC422453413.htm,南京森根科技发展有限公司,13000-18000,南京,15天前,地点：南京公司性质：民营公司规模：100-499人经验：3-5年学历：本科职位月薪：13000-18000元/月 1、本科以上，3～5年工作经验，有通信设备软件开发经验。  2、了解通信基本理论，熟练掌握计算机网络相关理论；  3、精通TCP/IP、DHCP、ARP、DNS、HTTP／HTTPS等网络协议；  4、精通PPPoE、VLAN等网络协议，有相关的开发经验。  5、熟悉以太网交换机和路由器基本工作原...
http://jobs.zhaopin.com/426773328251028.htm,前端开发工程师,,http://company.zhaopin.com/%E5%8D%97%E4%BA%AC%E7%BB%9B%E9%97%A8%E9%80%9A%E8%AE%AF%E7%A7%91%E6%8A%80%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8_CC426773328.htm,南京绛门通讯科技股份有限公司,8001-10000,南京,15天前,地点：南京公司性质：上市公司公司规模：500-999人学历：本科职位月薪：8001-10000元/月 1、精通基本的Html5、CSS 3、JavaScript  2、精通Web前端主流框架，有JQUERY、BOOTSTRAP开发经验者的优先  3、熟悉JAVA语言，熟悉主流后端框架，有SPRING MVC、SSI、SSH、多线程开发经验者优先  4、熟悉python语言，有开发经验者优先  5、...
http://jobs.zhaopin.com/385909889250013.htm,数据平台开发工程师,,http://company.zhaopin.com/CC385909889.htm,南京天数信息科技有限公司,16000-27000,南京,15天前,地点：南京公司性质：民营公司规模：20-99人经验：1-3年学历：本科职位月薪：16000-27000元/月 工作职责： 1、数据计算平台的设计和开发； 2、基础算法的实现和优化。  职位要求： 1、计算机相关专业本科及以上学历； 2、熟练使用Linux，熟悉shell编程； 3、熟悉下列任意一种语言：Java/Scala/R/Python； 4、Spark，Hadoop等有开发经验者优先； 5、数据挖掘...
http://jobs.zhaopin.com/583353823250039.htm,中级软件工程师,,http://company.zhaopin.com/CC583353823.htm,南京瑞航投资管理有限公司,6001-8000,南京,15天前,地点：南京公司性质：民营公司规模：20人以下经验：1-3年学历：大专职位月薪：6001-8000元/月 岗位职责：  1、数据分析方向，按照项目经理开发文档的要求，基于本地SQL数据库，使用python编写脚本程序，进行数据挖掘分析，需要掌握python+SQL。  2、系统平台开发方向，按照项目经理的要求，为公司内部系统平台开发部分组件，需要掌握Linux+C。     任职要求：  1、本科及以...
http://jobs.zhaopin.com/288706212251644.htm,配置管理员！工作地：南京！,,http://special.zhaopin.com/pagepublish/28870621/index.html,新智认知数据服务有限公司,6001-8000,南京-雨花台区,15天前,地点：南京-雨花台区公司性质：上市公司公司规模：1000-9999人经验：3-5年学历：本科职位月薪：6001-8000元/月 岗位职责：  1、负责警务云平台研发涉及的软件、文档等的配置管理；根据开发需求及开发计划编制配置管理计划；负责配置库的管理及维护；  2、负责维护配置管理规划、流程和策略；负责配置管理规范、工具的咨询与培训；  3、负责对采购云服务的配置管理，在职权范围内可同云服务供应商进行云服务的配置协商；  ...
http://jobs.zhaopin.com/557116920250120.htm,高级运维工程师,57%,http://company.zhaopin.com/CC557116920.htm,南京智精灵教育科技有限公司,8000-16000,南京,15天前,地点：南京公司性质：合资公司规模：20-99人经验：3-5年学历：本科职位月薪：8000-16000元/月 岗位职责：  1、设计和实施微服务编排，部署，运维  2、生产服务器和其他内部服务器的运维      3、各类自动化流程的设计和实施     任职要求：   1、精通业界主流技术，对开源技术掌握较为全面，精通Nginx、Tomcat、Memcached、Zookeeper、Redis、Kafka、...
http://jobs.zhaopin.com/340511819250068.htm,大数据开发工程师,,http://company.zhaopin.com/P2/CC3405/1181/CC340511819.htm,江苏宝和数据股份有限公司,10001-15000,南京-鼓楼区,15天前,地点：南京-鼓楼区公司性质：民营公司规模：100-499人经验：5-10年学历：本科职位月薪：10001-15000元/月 岗位职责：   1）负责和参与公司大数据基础架构平台的搭建，保障数据平台服务的稳定性和可用性；   2）负责和参与超大规模数据存储与计算任务的精细化管理系统的设计，选型和开发；  3）负责和参与大数据基础架构平台的监控、资源管理、数据流管理；  4）协助建立数据模型，对数据进行挖掘、优化及统计。 ...
